pageSize,page,totalItems,totalPages,sortBy,sortOrder,path,uniqueKey,lastUpdated
100,15,575,6,Licence ID,desc,data/page/006614fb888bf5effa3bbc2d8a4e9158.json,006614fb888bf5effa3bbc2d8a4e9158,2024-12-04T09:07:50Z
100,2,268,3,Licence ID,desc,data/page/015c7ec4816a25296caa25626f9890cc.json,015c7ec4816a25296caa25626f9890cc,2024-12-04T09:07:50Z
100,1,18,1,Licence ID,desc,data/page/01cbc86c7d1891233586cbe443a51651.json,01cbc86c7d1891233586cbe443a51651,2024-12-04T09:07:50Z
100,4,441,5,Licence ID,desc,data/page/0332210382fe9bb329d4c04d0f858f96.json,0332210382fe9bb329d4c04d0f858f96,2024-12-04T09:07:50Z
100,14,575,6,Licence ID,desc,data/page/056043b6ce2b0c7ef7c2dcc2f68ce31e.json,056043b6ce2b0c7ef7c2dcc2f68ce31e,2024-12-04T09:07:50Z
100,4,268,3,Licence ID,desc,data/page/058b8ea438197e8feaa0c6c53e86a515.json,058b8ea438197e8feaa0c6c53e86a515,2024-12-04T09:07:50Z
100,2,18,1,Licence ID,desc,data/page/0687ba911f96626445e7e9bd4f88a89a.json,0687ba911f96626445e7e9bd4f88a89a,2024-12-04T09:07:50Z
100,28,3519,36,Licence ID,desc,data/page/092d22fa9eb05af9346c653c53b8c787.json,092d22fa9eb05af9346c653c53b8c787,2024-12-04T09:07:50Z
100,20,575,6,Licence ID,desc,data/page/0b5fd389c558e594c051335846fd6c63.json,0b5fd389c558e594c051335846fd6c63,2024-12-04T09:07:50Z
100,3,575,6,Licence ID,desc,data/page/0e4c3633bbaf2d8c38fdacce7c064935.json,0e4c3633bbaf2d8c38fdacce7c064935,2024-12-04T09:07:50Z
100,17,575,6,Licence ID,desc,data/page/0ea669c986e864ad4b69d13c09ac0c04.json,0ea669c986e864ad4b69d13c09ac0c04,2024-12-04T09:07:50Z
100,35,575,6,Licence ID,desc,data/page/0f57c935f39239a0353be9b9549b6c71.json,0f57c935f39239a0353be9b9549b6c71,2024-12-04T09:07:50Z
100,5,3519,36,Licence ID,desc,data/page/0fdc663ae66997f01803482d432cb3e2.json,0fdc663ae66997f01803482d432cb3e2,2024-12-04T09:07:50Z
100,2,359,4,Licence ID,desc,data/page/146b20300d2750dc5eb381a4d98efe31.json,146b20300d2750dc5eb381a4d98efe31,2024-12-04T09:07:50Z
100,6,652,7,Licence ID,desc,data/page/162cc99f36b35ba552bf2632ba456696.json,162cc99f36b35ba552bf2632ba456696,2024-12-04T09:07:50Z
