uniqueKey,path,url,createdAt,page,sortBy,sortOrder,txRx,licenceDateType,fromDate,toDate,gridRefDefault,fromFrequency,toFrequency,licenceStatus,totalPages,totalItems,statusCode
9cf953d9c1f49e5ae3cfe1f547f33354,data/page/9cf953d9c1f49e5ae3cfe1f547f33354.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=4&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-27&toDate=2024-11-28&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:03Z,4,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-27,2024-11-28,LAT_LONG_NZGD2000_D2000,NA,NA,NA,7,652,200
747bfb3030389bd3c27d8bdb3ca2703b,data/page/747bfb3030389bd3c27d8bdb3ca2703b.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=3&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-27&toDate=2024-11-28&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:03Z,3,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-27,2024-11-28,LAT_LONG_NZGD2000_D2000,NA,NA,NA,7,652,200
da9b6b9ebe6e9c3e45294b8ed2fefa55,data/page/da9b6b9ebe6e9c3e45294b8ed2fefa55.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=2&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-27&toDate=2024-11-28&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:03Z,2,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-27,2024-11-28,LAT_LONG_NZGD2000_D2000,NA,NA,NA,7,652,200
925efea6e18925f4732e547630d7b4f2,data/page/925efea6e18925f4732e547630d7b4f2.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=9&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-26&toDate=2024-11-27&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:03Z,9,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-26,2024-11-27,LAT_LONG_NZGD2000_D2000,NA,NA,NA,9,870,200
5feb990509a342a5f73be434c7b07778,data/page/5feb990509a342a5f73be434c7b07778.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=8&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-26&toDate=2024-11-27&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:03Z,8,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-26,2024-11-27,LAT_LONG_NZGD2000_D2000,NA,NA,NA,9,870,200
f32a49def866f570e9db3b7987302317,data/page/f32a49def866f570e9db3b7987302317.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=7&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-26&toDate=2024-11-27&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:03Z,7,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-26,2024-11-27,LAT_LONG_NZGD2000_D2000,NA,NA,NA,9,870,200
18bf3352bdfb0a865eee053c042f4702,data/page/18bf3352bdfb0a865eee053c042f4702.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=6&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-26&toDate=2024-11-27&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:03Z,6,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-26,2024-11-27,LAT_LONG_NZGD2000_D2000,NA,NA,NA,9,870,200
e5e95fee2e86593ecfb03ccf838a0f7b,data/page/e5e95fee2e86593ecfb03ccf838a0f7b.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=5&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-26&toDate=2024-11-27&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:03Z,5,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-26,2024-11-27,LAT_LONG_NZGD2000_D2000,NA,NA,NA,9,870,200
861643087571ccf38a1943185cebcea2,data/page/861643087571ccf38a1943185cebcea2.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=4&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-26&toDate=2024-11-27&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,4,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-26,2024-11-27,LAT_LONG_NZGD2000_D2000,NA,NA,NA,9,870,200
3d7f96dadc78c68f6a648ac990416b35,data/page/3d7f96dadc78c68f6a648ac990416b35.json,"https://api.business.govt.nz/gateway/radio-spectrum-management/v1/licences?page=3&sort-by=Licence%20ID&sort-order=desc&txRx=TRN,%20RCV&LicenceDateType=LASTUPDATED_LU&fromDate=2024-11-26&toDate=2024-11-27&gridRefDefault=LAT_LONG_NZGD2000_D2000",2024-11-29T07:18:02Z,3,Licence ID,desc,"TRN, RCV",LASTUPDATED_LU,2024-11-26,2024-11-27,LAT_LONG_NZGD2000_D2000,NA,NA,NA,9,870,200
